,Location,Rank,University
,,,
1,Hyderabad,144,Acharya N.G. Ranga Agricultural University
2,Guntur,148,Acharya Nagarjuna University
3,Rajahmundry,377,Adikavi Nannaya University
4,Ahmedabad,253,Ahmedabad University
5,Karaikudi,125,Alagappa University
6,Kolkata,355,Aliah University
7,Aligarh ...,44,Aligarh Muslim University
8,Bhopal,228,All India Institute of Medical Sciences Bhopal
9,Bhubaneswar,139,All India Institute of Medical Sciences Bhubaneswar
10,New Delhi,34,All India Institute of Medical Sciences Delhi
11,Jodhpur,154,All India Institute of Medical Sciences Jodhpur
12,Patna,247,All India Institute of Medical Sciences Patna
13,Raipur,190,All India Institute of Medical Sciences Raipur
14,Rishikesh,204,All India Institute of Medical Sciences Rishikesh
15,Bangalore,215,Alliance University
16,Noida ...,12,Amity University
17,Coimbatore ...,16,Amrita Vishwa Vidyapeetham
18,Anand,208,Anand Agricultural University
19,Visakhapatnam,89,Andhra University
20,Chennai,8,Anna University
21,Chidambaram,67,Annamalai University
22,Shimla,476,AP Goyal Shimla University
23,Gurgaon,430,Apeejay Stya University
24,Kathgarh,635,Arni University
25,Namsai,566,Arunachal University of Studies
26,Patna,390,Aryabhatta Knowledge University
27,Sonipat,305,Ashoka University
28,Jorhat,202,Assam Agricultural University
29,Guwahati,329,Assam Don Bosco University
30,Guwahati,538,Assam Down Town University
31,Jorhat,614,Assam Kaziranga University
32,Sivasagar,708,Assam Rajiv Gandhi University of Cooperative Management
33,Guwahati,713,Assam Science and Technology University
34,Jorhat,733,Assam Women's University
35,Bhopal,712,Atal Bihari Vajpayee Hindi Vishwavidyalaya
36,Surat,562,AURO University
37,Coimbatore,481,Avinashilingam University
38,Rewa,455,Awadhesh Pratap Singh University
39,Raipur,593,Ayush and Health Sciences University of Chhattisgarh
40,Bangalore,295,Azim Premji University
41,Chennai,296,B.S. Abdur Rahman University
42,Faridkot,121,Baba Farid University of Health Sciences
43,Rajouri,487,Baba Ghulam Shah Badhshah University
44,Rohtak,699,Baba Mast Nath University
45,Muzaffarpur,362,Babasaheb Bhimrao Ambedkar Bihar University
46,Lucknow,201,Babasaheb Bhimrao Ambedkar University
47,Lucknow,510,Babu Banarasi Das University
